value,%
8.43,0.92
8.44,0.92
8.45,0.92
8.46,0.92
8.47,0.92
8.48,0.92
8.49,0.93
8.50,0.93
8.51,0.93
8.52,0.93
8.53,0.93
8.54,0.93
8.55,0.93
8.56,0.93
8.57,0.94
8.58,0.94
8.59,0.94
8.60,0.94
8.61,0.94
8.62,0.94
8.63,0.94
8.64,0.94
8.65,0.95
8.66,0.95
8.67,0.95
8.68,0.95
8.69,0.95
8.70,0.95
8.71,0.95
8.72,0.95
8.73,0.96
8.74,0.96
8.75,0.96
8.76,0.96
8.77,0.96
8.78,0.96
8.79,0.96
8.80,0.96
8.81,0.97
8.82,0.97
8.83,0.97
8.84,0.97
8.85,0.97
8.86,0.97
8.87,0.97
8.88,0.97
8.89,0.98
8.90,0.98
8.91,0.98
8.92,0.98
8.93,0.98
8.94,0.98
8.95,0.98
8.96,0.98
8.97,0.99
8.98,0.99
8.99,0.99
9.00,0.99
9.01,0.99
9.02,0.99
9.03,0.99
9.04,0.99
9.05,1.00
9.06,1.00
9.07,1.00
9.08,1.00
9.09,1.00
9.10,1.00
9.11,1.00
9.12,1.00
